name,place_type,lat,lon,cost,address,nearby_wifi
PERTH AVENUE PARKETTE,park,43.6587793087855,-79.4499983529266,free,160 Perth Ave,False
LEASIDE PARK,park,43.702196292248,-79.3500980657578,free,5 Leaside Park Dr,False
MALLABY PARK,park,43.7059241734327,-79.5327552211603,free,2394 Weston Rd,False
KAY GARDNER BELTLINE PARK,park,43.6954503339248,-79.4113310638328,free,378 Mount Pleasant Rd,False
ERWIN KRICKHAHN PARK,park,43.6593362749005,-79.4461702838584,free,121 Rankin Cres,False
FIRVALLEY WOODS,park,43.7046981922972,-79.2788946876566,free,656 Warden Ave,False
AITKEN PLACE PARK,park,43.6450859282695,-79.3625431783761,free,90 Merchants' Wharf,False
GRASETT PARK,park,43.647511382602,-79.3912755084545,free,303 Adelaide St W,False
ELKHORN PARKETTE,park,43.7713322435457,-79.3793756904239,free,2 Elkhorn Dr,False
PARKWAY FOREST PARK,park,43.771513418939,-79.3422030461915,free,80 Parkway Forest Dr,False
DORSET PARK,park,43.7615052026021,-79.2843325855626,free,5 Glaive Dr,False
WEST BIRKDALE PARK,park,43.7658136494354,-79.2723287409907,free,514 Midwest Rd,False
EAST POINT PARK,park,43.7609686036526,-79.1568780645357,free,101 Copperfield Rd,False
LOWER DON PARKLANDS,park,43.6908358662758,-79.3576023113547,free,44 Beechwood Dr,False
MANHATTAN PARK,park,43.7537482853687,-79.294720506236,free,100 Manhattan Dr,False
KENASTON GARDENS PARKETTE,park,43.7663083286001,-79.3862857514651,free,12 Kenaston Gdns,False
KAY PARK,park,43.7579865108687,-79.592698766112,free,32 Cathy Jean Cres,False
ROWATSON PARK,park,43.7488431151302,-79.2019766530729,free,37 Rowatson Rd,False
ROWENA PARK,park,43.7502244581586,-79.3154581647911,free,75 Rowena Dr,False
GWENDOLEN PARK,park,43.7513187199301,-79.4199866745491,free,3 Gwendolen Cres,False
OWEN PARK,park,43.7492882207387,-79.3908472707638,free,150 Gordon Rd,False
NORTHWOOD PARK,park,43.7467895188799,-79.4989291078739,free,140 Stilecroft Dr,False
EMPRESS TOT LOT,park,43.773121546221,-79.3967919091427,free,304 Empress Ave,False
EDGEWOOD PARK,park,43.7676283903267,-79.2669895002672,free,107 Oakley Blvd,False
MAUREEN PARKETTE,park,43.7719035392205,-79.372122911253,free,2 Maureen Dr,False
WOODSWORTH PARK,park,43.7662771223652,-79.2363634978414,free,122 Sedgemount Dr,False
HULLMAR PARK,park,43.764938632392,-79.5254185601434,free,97 Hullmar Dr,False
PETER SECOR PARK,park,43.7615630397758,-79.1808403897242,free,235 Coronation Dr,False
MARYVALE PARK,park,43.7530814433334,-79.3065285038638,free,5 Trestleside Grv,False
HIGH PARK,park,43.6468021271006,-79.462835365765,free,1873 Bloor St W,False
ALAMOSA PARK,park,43.7810883418558,-79.3695581541507,free,111 Alamosa Dr,False
DUNVEGAN PARKETTE,park,43.6960311095504,-79.4090668293943,free,160 Dunvegan Rd,False
TRETHEWEY PARK WEST,park,43.6967810342362,-79.4978753800819,free,665 Trethewey Dr,False
ROSEMARY PARKETTE,park,43.6957099165086,-79.420578721669,free,225 Rosemary Rd,False
HENDON PARK,park,43.781475105622,-79.4207514304895,free,50 Hendon Ave,False
MUIRHEAD PARK,park,43.7801914773283,-79.3379590979191,free,65 Muirhead Rd,False
PEMBERTON PARKETTE,park,43.7817631614823,-79.4094926391022,free,89 Pemberton Ave,False
HEATHER HEIGHTS PARK,park,43.7769557045287,-79.2155057935215,free,125 Milford Haven Dr,False
PHIN PARK,park,43.6779744486004,-79.3362657140271,free,115 Condor Ave,False
FENSIDE PARK,park,43.7648962709531,-79.3272223149467,free,30 Slidell Cres,False
GRACEDALE PARK,park,43.7519423372744,-79.5621766506365,free,176 Gracedale Blvd,False
MONTAGUE PARKETTE,park,43.6637235012622,-79.3753821262897,free,30 Homewood Ave,False
THOROGOOD GARDENS,park,43.6633568579785,-79.3495752139319,free,53 Allen Ave,False
DE GRASSI ST PARKETTE,park,43.6630640200863,-79.3467983106305,free,125 De Grassi St,False
WIMBLETON ROAD SOUTH PARKETTE,park,43.6607534099911,-79.5241801617706,free,60 Wimbleton Rd,False
SUSAN TIBALDI PARKETTE,park,43.6595961965914,-79.4394223959384,free,620 Brock Ave,False
SAULTER STREET PARKETTE,park,43.657739332271,-79.3464786140831,free,25 Saulter St,False
DON LAKE PARKETTE,park,43.7810136812895,-79.4459255097139,free,145 Antibes Dr,True
MITCHELL FIELD PARK,park,43.7745649924134,-79.4084124192717,free,89 Church Ave,True
CLOVERCREST PARKETTE,park,43.7742275931179,-79.3622150340752,free,23 Clovercrest Rd,False
DON-LESLIE PARK,park,43.7193645619484,-79.3488102724242,free,14 Inn on The Park Dr,False
ATRIA SOUTH PARK,park,43.7737361487828,-79.3288965813281,free,63 Ann O'Reilly Rd,False
GREENBRAE PARKETTE,park,43.7603238381811,-79.2304574377489,free,100 Greenbrae Crct,False
DONWOOD PARK,park,43.7569155429156,-79.2644242293511,free,35 Highbrook Dr,False
PRIMULA PARKETTE,park,43.7612045416996,-79.5775186354026,free,86 Primula Cres,False
DR. GORDON CHONG PARK,park,43.6715562146855,-79.3729746291307,free,60 Howard St,False
PLOWSHARE PARK,park,43.7565124750525,-79.5973126847631,free,10 Plowshare Cres,False
BOND PARK,park,43.7464153772271,-79.3512498980165,free,120 Bond Ave,False
BANTING PARK,park,43.7490016872829,-79.4593001429813,free,40 Banting Ave,False
DUNCANWOODS GREENBELT,park,43.7502467317551,-79.5566793162048,free,2470 Finch Ave W,False
BAKERTON PARKETTE,park,43.7466339371684,-79.2228271076436,free,25 Bakerton Dr,False
LINDYLOU PARK,park,43.749448335639,-79.5449073173998,free,14 Lanyard Rd,False
EMPRESS PARKETTE,park,43.7739615205665,-79.3902263686969,free,433 Empress Ave,False
BAYVIEW VILLAGE PARK,park,43.7730254758739,-79.3872627358376,free,2945 Bayview Ave,False
DRIFTWOOD PARK,park,43.7626020892504,-79.5108125645306,free,44 Tobermory Dr,False
CORNELL PARK,park,43.7587330971948,-79.2186335976414,free,18 Beran Dr,False
EARL BALES PARK,park,43.7526488527384,-79.4311230903258,free,4169 Bathurst St,True
WHITFIELD PARKETTE,park,43.759002026065,-79.5716087043036,free,2990 Islington Ave,True
45 DALHOUSIE ST PARK,park,43.6545133314241,-79.3754141162697,free,45 Dalhousie St,False
ROWNTREE MILLS PARK,park,43.7529482163534,-79.5780868784015,free,155 Rowntree Mill Rd,False
ADDINGTON GREENBELT,park,43.7593042596768,-79.4271390363653,free,37 R Wentworth Ave,False
HUMBERWOOD PARK,park,43.7284972447305,-79.6196668718173,free,850 Humberwood Blvd,True
BEAUMONT PARK,park,43.679658374822,-79.3732256810882,free,9 A Beaumont Rd,False
MONARCH PARK,park,43.677908132649,-79.325677517141,free,115 Felstead Ave,False
BASSWOOD PARKETTE,park,43.7738224919585,-79.4195678303804,free,98 Horsham Ave,False
LONGMORE PARK,park,43.7777228770316,-79.4027230876987,free,196 Dunview Ave,False
IRVING W. CHAPLEY PARK,park,43.7617768366639,-79.4552215175651,free,205 Wilmington Ave,False
BROOKBANKS PARK,park,43.7557738842589,-79.3285072566943,free,75 Brookbanks Dr,False
BROADLANDS PARK,park,43.7459134838655,-79.3212925044694,free,19 Castlegrove Blvd,False
PLAYTER GARDENS,park,43.6761903649645,-79.3606441514221,free,4 Cambridge Ave,False
TWENTY EIGHTH STREET PARK,park,43.5901402913425,-79.5251476739792,free,123 Lake Promenade,False
MAURICE J. BREEN PARK,park,43.5898009235863,-79.547162232126,free,26 Forty Third St,False
JAMES GARDENS,park,43.67074361962,-79.5152961398092,free,99 Edenbridge Dr,False
LARRY SEFTON PARK,park,43.6543992712825,-79.383661904441,free,500 Bay St,False
WISHING WELL WOODS,park,43.7757948028218,-79.3162995767343,free,1801 Pharmacy Ave,False
CARNEY PARK,park,43.7779419611527,-79.4278286991621,free,17 Carney Rd,False
GLAMORGAN PARK,park,43.7726448062954,-79.28867580455,free,50 Antrim Cres,False
PLUNKETT PARK,park,43.7629546598207,-79.571599297475,free,188 Plunkett Rd,False
COTSWOLD PARK,park,43.7580143030744,-79.3978460525801,free,44 A Cotswold Cres,False
THE TOLLKEEPER'S PARK,park,43.6769819347007,-79.4167654095459,free,750 Davenport Rd,False
ST. JAMES PARK,park,43.6509190187712,-79.3729695242138,free,120 King St E,False
ROSA AND SPENCER CLARK PARKETTE,park,43.7458802925035,-79.202572618636,free,61 Guildwood Pkwy,False
LIVINGSTON ROAD PARK SOUTH,park,43.7452265714464,-79.1977246376559,free,61 Livingston Rd,False
DIAMOND JUBILEE PROMENADE,park,43.6534153024494,-79.3551583522763,free,476 FRONT ST E,False
PRESCOTT PARKETTE,park,43.6753486052929,-79.457663747594,free,20 Prescott Ave,False
CRAIGTON COURT TOT LOT,park,43.7280211089426,-79.3012905193673,free,14 Craigton Dr,False
DUNDAS - ST.CLARENS PARKETTE,park,43.6497946011204,-79.4387582291774,free,1717 Dundas St W,False
ST. ALBAN'S SQUARE,park,43.6686030879348,-79.4105230715069,free,90 Howland Ave,False
KINGSWAY GATE PARKETTE,park,43.650123136552,-79.4997929784968,free,2 The Kingsway,False
GLEN PARK,park,43.6508232826992,-79.5528803272222,free,44 A Eastglen Cres,False
BERCZY PARK,park,43.648052877951,-79.375234190496,free,35 Wellington St E,False
CASTLEFIELD PARKETTE,park,43.7065176581847,-79.4242294874234,free,621 Castlefield Ave,False
GAMBLE PLAYGROUND,park,43.6911086139533,-79.3470192775811,free,150 Gamble Ave,False
BEACHES PARK,park,43.6661298769119,-79.298509100303,free,2075 Queen St E,False
HUMBER SHEPPARD PARK,park,43.733157482333,-79.5412531129618,free,3100 Weston Rd,False
BLUE RIDGE PARK,park,43.7746163201242,-79.3753416685858,free,50 Blue Ridge Rd,False
FARMCREST PARKETTE,park,43.7708658331624,-79.3205580518176,free,2485 Victoria Park Ave,False
BROADACRES PARK,park,43.647047542766,-79.5692599593572,free,35 Crendon Dr,False
OSLER PLAYGROUND,park,43.6460341700338,-79.4222447266431,free,123 Argyle St,False
BIRCHVIEW BOULEVARD PARKETTE,park,43.6474943351106,-79.5153046429738,free,38 Birchview Blvd,True
EDWARDS GARDENS,park,43.7332304851635,-79.3602091741865,free,755 Lawrence Ave E,False
FINCH - HUMBERLINE SPORTSFIELDS,park,43.7334092855006,-79.616675823199,free,95 Humberline Dr,False
GREENBELT PARK,park,43.7305092156199,-79.3341671135273,free,25 Jessie Dr,False
SMYTHE PARK,park,43.6745950041596,-79.499501160714,free,61 Black Creek Blvd,False
ST. PHILLIPS ROAD PARKETTE,park,43.7000693063311,-79.5346902460412,free,98 Dixon Rd,False
OATES PARK,park,43.7042623800705,-79.2742630893229,free,10 Oates Dr,False
KINGSVIEW PARK,park,43.6991667361521,-79.5543427177554,free,46 Kingsview Blvd,False
