HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
004,Rexdale-Kipling (4),2025,Auto Theft,23
004,Rexdale-Kipling (4),2025,Break and Enter,17
004,Rexdale-Kipling (4),2025,Robbery,14
004,Rexdale-Kipling (4),2025,Theft Over,6
005,Elms-Old Rexdale (5),2011,Assault,1
005,Elms-Old Rexdale (5),2012,Assault,1
005,Elms-Old Rexdale (5),2013,Assault,1
005,Elms-Old Rexdale (5),2013,Break and Enter,1
005,Elms-Old Rexdale (5),2014,Assault,43
005,Elms-Old Rexdale (5),2014,Auto Theft,7
005,Elms-Old Rexdale (5),2014,Break and Enter,9
005,Elms-Old Rexdale (5),2014,Robbery,14
005,Elms-Old Rexdale (5),2014,Theft Over,2
005,Elms-Old Rexdale (5),2015,Assault,54
005,Elms-Old Rexdale (5),2015,Auto Theft,19
005,Elms-Old Rexdale (5),2015,Break and Enter,17
005,Elms-Old Rexdale (5),2015,Robbery,8
005,Elms-Old Rexdale (5),2016,Assault,70
005,Elms-Old Rexdale (5),2016,Auto Theft,16
005,Elms-Old Rexdale (5),2016,Break and Enter,9
005,Elms-Old Rexdale (5),2016,Robbery,21
005,Elms-Old Rexdale (5),2017,Assault,63
005,Elms-Old Rexdale (5),2017,Auto Theft,12
005,Elms-Old Rexdale (5),2017,Break and Enter,12
005,Elms-Old Rexdale (5),2017,Robbery,22
005,Elms-Old Rexdale (5),2017,Theft Over,2
005,Elms-Old Rexdale (5),2018,Assault,59
005,Elms-Old Rexdale (5),2018,Auto Theft,33
005,Elms-Old Rexdale (5),2018,Break and Enter,7
005,Elms-Old Rexdale (5),2018,Robbery,13
005,Elms-Old Rexdale (5),2018,Theft Over,1
005,Elms-Old Rexdale (5),2019,Assault,77
005,Elms-Old Rexdale (5),2019,Auto Theft,28
005,Elms-Old Rexdale (5),2019,Break and Enter,10
005,Elms-Old Rexdale (5),2019,Robbery,16
005,Elms-Old Rexdale (5),2019,Theft Over,4
005,Elms-Old Rexdale (5),2020,Assault,51
005,Elms-Old Rexdale (5),2020,Auto Theft,45
005,Elms-Old Rexdale (5),2020,Break and Enter,13
005,Elms-Old Rexdale (5),2020,Robbery,7
005,Elms-Old Rexdale (5),2020,Theft Over,2
005,Elms-Old Rexdale (5),2021,Assault,64
